"","actor","talk_time_igc1_MGR","talk_time_igc1_ABMT","talk_time_igc1_EIA","talk_time_igc1_CBTT","talk_time_igc1_crosscutting","talk_time_igc1_other","talk_time_igc2_MGR","talk_time_igc2_ABMT","talk_time_igc2_EIA","talk_time_igc2_CBTT","talk_time_igc2_crosscutting","talk_time_igc2_other","talk_time_igc3_MGR","talk_time_igc3_ABMT","talk_time_igc3_EIA","talk_time_igc3_CBTT","talk_time_igc3_crosscutting","talk_time_igc3_other","talk_fr_igc1_MGR","talk_fr_igc1_ABMT","talk_fr_igc1_EIA","talk_fr_igc1_CBTT","talk_fr_igc1_Cross.Cutting","talk_fr_igc2_MGR","talk_fr_igc2_ABMT","talk_fr_igc2_EIA","talk_fr_igc2_CBTT","talk_fr_igc2_Cross.Cutting","talk_fr_igc3_MGR","talk_fr_igc3_ABMT","talk_fr_igc3_EIA","talk_fr_igc3_CBTT","talk_fr_igc3_Cross.Cutting","host_side_event_igc1","host_side_event_igc2","host_side_event_igc3","sci_fr_igc1_MGR","sci_fr_igc1_ABMT","sci_fr_igc1_EIA","sci_fr_igc1_CBTT","sci_fr_igc1_crosscutting","sci_fr_igc2_MGR","sci_fr_igc2_ABMT","sci_fr_igc2_EIA","sci_fr_igc2_CBTT","sci_fr_igc2_crosscutting","sci_fr_igc3_MGR","sci_fr_igc3_ABMT","sci_fr_igc3_EIA","sci_fr_igc3_CBTT","sci_fr_igc3_crosscutting","frq_sci1","frq_sci2","frq_sci3","total_frq_sci","total_time","agg_total_time","agg_frq_sci","participants_CBD_cop18","participants_BBNJ_igc1","participants_BBNJ_igc2","participants_BBNJ_igc3","total_publications","total_citations","talk_time_MGR","talk_time_ABMT","talk_time_EIA","talk_time_CBTT","talk_time_crosscutting","2014_expenditure_rd","2015_expenditure_rd","2016_expenditure_rd","2017_expenditure_rd","2018_expenditure_rd","2019_expenditure_rd","2014_expenditure_rd_pc","2015_expenditure_rd_pc","2016_expenditure_rd_pc","2017_expenditure_rd_pc","2018_expenditure_rd_pc","2019_expenditure_rd_pc","X","represents_alliance","alliance","avg_citation","degree_centrality","eigen_centrality","member_alliance","PSIDS","CLAM","AOSIS","CARICOM","Least_Developed","Non_UNCLOS_Party","African_Group","G77_and_China","EU","region","continent","maripoldata_regions","Country"
"113","mali",0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10597,20,6,4,4,1,NA,NA,0,0,0,0,0,NA,111523.80552,NA,121445.03276,NA,NA,NA,6.39516,NA,6.56019,NA,NA,103,"mali","African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Mali"
"114","malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,3,3,3,3,8,94,NA,NA,NA,NA,NA,103245.4427,119242.80009,100053.95828,113621.06512,120835.43377,NA,239.99573,275.03246,229.43051,259.44851,275.09615,NA,NA,NA,"EU",11.75,780,0.00831587946033507,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Southern Europe","Europe","Europe","Malta"
"115","marshall islands",0,0,0,0,0,0,0,0,166,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,3,351,4176,6,1,6,6,6,NA,NA,0,0,166,0,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,"marshall islands","AOSIS",NA,NA,NA,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Micronesia","Oceania","Oceania",NA
"116","mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,8,NA,0,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455.84843,NA,NA,NA,NA,NA,0.55773,NA,NA,NA,"African Group",4,45,0.00110321673796229,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Mauritania"
"117","mauritius",188,783,0,988,0,308,425,0,0,272,0,119,212,689,0,0,378,44,1,1,0,5,1,2,0,0,2,1,2,3,0,0,3,0,0,0,1,2,0,2,1,1,1,0,2,0,1,1,0,2,0,6,4,4,14,1976,10597,20,2,5,6,6,9,52,825,1472,0,1260,378,NA,NA,NA,99216.91408,99783.70523,NA,NA,NA,NA,78.46342,78.74439,NA,105,"mauritius","African Group",5.77777777777778,225,0.00497886503819216,"African Group",NA,NA,"AOSIS",NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Mauritius"
"118","mexico",1677,958,133,433,156,285,345,140,0,0,0,0,0,0,0,0,613,0,2,2,1,3,2,1,1,0,0,0,0,0,0,0,5,0,0,0,3,1,0,2,1,3,0,0,2,1,3,0,0,2,1,7,6,6,19,1098,13259,79,23,6,0,8,316,3434,2022,1098,133,433,769,9458519.72539,9577903.51668,9242148.00254,8112495.16821,8053926.3723,NA,78.58842,78.59872,74.93631,65.01578,63.82341,NA,106,"CLAM","CLAM",10.8670886075949,3091,0.0944514117071121,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Mexico"
"119","monaco",161,0,0,404,0,0,0,1340,186,0,247,265,0,422,0,0,327,0,1,1,0,2,0,0,4,1,0,2,0,2,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2,1,4,2522,2522,4,2,3,4,3,9,118,161,1762,186,404,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,"monaco","monaco",13.1111111111111,376,0.00899734143702782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Europe","Europe","Europe",NA
"120","mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,9,NA,0,2,0,1,15,NA,NA,NA,NA,NA,72619.86449,49936.52902,60205.46986,47496.57373,39497.00402,NA,24.69973,16.65418,19.6984,15.25364,12.45877,NA,NA,NA,"mongolia",15,14,0.000208248627358322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Asia","Asia","Asia","Mongolia"
"121","montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,41,NA,NA,NA,NA,NA,34713.87854,38014.36943,36524.92792,42629.27471,48119.03847,NA,55.3964,60.63323,58.22896,67.92828,76.64598,NA,NA,NA,"montenegro",3.72727272727273,560,0.00702969533107463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","Europe","Montenegro"
"122","morocco",255,181,138,419,0,0,135,0,127,72,0,321,0,0,0,0,0,60,2,2,1,2,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,2,2,2,6,334,10597,20,20,2,2,3,26,151,390,181,265,491,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,"morocco","African Group",5.80769230769231,1358,0.0264849892765079,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Northern Africa","Africa","Africa",NA
"123","mozambique",0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3,0,10597,20,9,1,4,5,4,32,0,0,0,166,0,NA,109337.10556,NA,NA,NA,NA,NA,4.04323,NA,NA,NA,NA,109,"mozambique","African Group",8,130,0.00261386814873721,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Mozambique"
"124","myanmar",0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1606,3,3,1,2,2,1,28,0,0,0,0,0,NA,NA,NA,78575.8531,NA,NA,NA,NA,NA,1.47194,NA,NA,110,"myanmar","myanmar",28,128,0.00159729510484344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Myanmar"
"125","namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,19,0,0,0,2,66,NA,NA,NA,NA,NA,83253.74179,NA,NA,NA,NA,NA,36.62044,NA,NA,NA,NA,NA,NA,NA,"African Group",33,80,0.00123135137468981,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Namibia"
"126","nauru",1221,1262,586,1271,0,0,386,0,0,0,2472,553,0,0,0,0,1951,0,5,5,1,5,0,1,0,0,0,8,0,0,0,0,16,0,0,0,3,1,0,3,1,3,1,0,3,2,3,1,0,3,4,8,9,11,28,4809,18284,83,NA,6,0,9,NA,NA,1607,1262,586,1271,4423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,"PSIDS","AOSIS",NA,NA,NA,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Micronesia","Oceania","Oceania",NA
"127","nepal",189,0,0,106,0,0,205,0,0,146,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,1606,9,8,3,5,4,4,34,394,0,0,252,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,"nepal","nepal",8.5,23,0.000275677877891046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Asia","Asia","Asia",NA
"128","netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,8,9,9,9,325,12409,NA,NA,NA,NA,NA,16404417.41943,16913370.73532,17779893.35385,18803164.0903,21463053.3097,NA,971.10523,998.5165,1047.02812,1104.68132,1258.12467,NA,NA,NA,"EU",38.1815384615385,7477,0.174378386155897,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Western Europe","Europe","Europe","Netherlands"
"129","new zealand",136,763,89,158,0,200,294,1084,1131,307,1171,0,268,408,581,397,1996,48,1,1,2,1,1,2,4,4,2,5,4,5,4,4,16,0,0,0,1,2,0,0,1,1,2,0,0,1,1,2,0,0,3,4,4,6,14,7637,7637,14,7,8,6,10,490,13719,698,2255,1801,862,3167,NA,2125427.32204,NA,2679205.403,NA,NA,NA,460.59434,NA,569.79711,NA,NA,116,"new zealand","new zealand",27.9979591836735,5228,0.13914663241673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia and New Zealand","Oceania","Oceania","New Zealand"
"130","nicaragua",0,0,0,0,0,0,0,0,0,0,0,98,0,119,0,0,186,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,305,0,1,4,2,4,4,10,0,119,0,0,186,27123.75583,35388.38959,NA,NA,NA,NA,4.41559,5.68649,NA,NA,NA,NA,117,"nicaragua","nicaragua",2.5,133,0.00558764564032442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Nicaragua"
"131","niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"132","nigeria",0,341,212,1190,0,0,0,180,576,444,0,0,99,0,129,556,829,217,0,0,1,4,0,0,1,2,1,0,1,0,1,3,8,0,0,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,1,4,4,5,13,2813,10597,20,33,4,14,20,14,28,99,521,917,2190,829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,"nigeria","African Group",2,51,0.00115817653658472,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"133","non unclos party",187,0,0,0,0,70,680,544,0,0,77,648,78,497,76,0,850,521,2,2,0,0,1,4,4,0,0,3,2,4,1,0,14,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,2,3,3,8,2802,2802,8,NA,NA,NA,NA,NA,NA,945,1041,76,0,927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,"non unclos party","non unclos party",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","norway",690,1399,0,414,259,596,1677,1334,2403,1355,1608,877,647,1672,836,283,1923,778,3,3,0,2,2,3,3,6,4,6,7,6,5,5,18,2,1,1,3,3,0,1,2,3,3,0,1,2,3,3,0,1,4,9,9,11,29,13738,13738,29,18,10,7,6,310,8723,3014,4405,3239,2052,3790,5805587.52327,6063453.91653,6307411.74251,6972141.44892,7446972.30032,NA,1128.99423,1166.08561,1201.19463,1316.41093,1395.09654,NA,121,"norway","norway",28.1387096774194,7189,0.164315949768324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Europe","Europe","Europe","Norway"
"135","oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,0,3,13,225,NA,NA,NA,NA,NA,332188.17169,334089.58394,337318.67278,309661.38465,310503.96968,NA,82.48491,78.28974,75.30747,66.36652,64.29355,NA,NA,NA,"oman",17.3076923076923,259,0.0061273447705938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Oman"
"136","pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,152,NA,NA,NA,NA,NA,NA,2145827.70049,NA,2245437.62252,NA,NA,NA,10.75997,NA,10.80024,NA,NA,NA,NA,"pakistan",4.34285714285714,81,0.00135203260400039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Asia","Asia","Asia","Pakistan"
"137","palau",0,0,0,241,0,337,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,215,4176,6,3,2,4,6,4,266,0,215,0,241,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,"palau","AOSIS",66.5,62,0.00190343129334924,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Micronesia","Oceania","Oceania",NA
"138","palestine",0,0,0,0,0,0,519,607,501,354,516,300,760,342,707,764,1995,1292,0,0,0,0,0,4,4,6,4,7,12,3,7,6,31,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,4,5,6,15,7065,7065,15,5,0,3,NA,NA,NA,1279,949,1208,1118,2511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,"G77/China","palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia",NA
"139","panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13259,79,7,3,3,3,29,762,NA,NA,NA,NA,NA,125527.00076,120909.12718,162831.42051,184031.02463,NA,NA,32.17557,30.46731,40.33398,44.81163,NA,NA,NA,NA,"CLAM",26.2758620689655,772,0.0253849428118568,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Panama"
"140","papua new guinea",490,289,0,640,0,0,1108,320,284,0,240,0,0,0,0,0,0,0,1,1,0,2,0,3,1,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,3,3,3,9,1952,4176,6,3,8,5,9,2,49,1598,609,284,640,240,NA,NA,10996.43632,NA,NA,NA,NA,NA,1.32939,NA,NA,NA,131,"papua new guinea","AOSIS",24.5,141,0.00361551736518944,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Melanesia","Oceania","Oceania","Papua New Guinea"
"141","paraguay",138,0,0,475,0,0,198,0,0,219,0,238,0,0,0,0,80,408,1,1,0,1,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,3,3,3,9,497,497,9,8,5,4,4,2,1,336,0,0,694,80,59729.05354,74325.94885,95297.50314,128717.73515,133819.41584,NA,9.05051,11.11209,14.06009,18.74422,19.2378,NA,132,"Landlocked","paraguay",0.5,48,0.000920746458761207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Paraguay"
"142","peru",397,0,0,0,0,262,0,0,0,208,0,240,0,0,0,0,0,73,2,2,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,3,3,3,9,208,13259,79,5,3,3,6,7,86,397,0,0,208,0,374223.98251,412634.00655,446122.43323,475242.41082,532173.70514,NA,12.43667,13.54198,14.42547,15.11379,16.63601,NA,134,"CLAM","CLAM",12.2857142857143,463,0.0106160435238547,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Peru"
"143","philippines",317,333,131,691,0,0,432,365,336,398,452,138,544,340,762,173,511,160,3,3,1,4,0,2,3,4,4,4,8,3,4,2,8,0,0,0,2,0,2,2,1,2,1,2,2,1,2,1,2,2,1,7,8,8,23,4313,4313,23,31,23,19,16,102,2042,1293,1038,1229,1262,963,NA,1150918.38536,NA,NA,NA,NA,NA,11.271,NA,NA,NA,NA,137,"philippines","philippines",20.0196078431373,1800,0.0429083071297523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Philippines"
"144","poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,4,4,3,3,220,2054,NA,NA,NA,NA,NA,9149349.62782,10234761.36533,10353614.33061,11844722.67054,14622024.88866,NA,240.19659,269.0945,272.54085,312.08775,385.58573,NA,NA,NA,"EU",9.33636363636364,2880,0.0601565249059806,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Eastern Europe","Europe","Europe","Poland"
"145","portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,5,3,6,6,481,8311,NA,NA,NA,NA,NA,3856231.47246,3820807.46935,4179484.98094,4496076.30338,4758849.81375,NA,370.1431,368.50676,404.77164,436.99903,463.99769,NA,NA,NA,"EU",17.2785862785863,8930,0.193429544505891,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Southern Europe","Europe","Europe","Portugal"
"146","psids",2768,2346,689,2649,0,779,2892,3231,1615,1931,2482,1579,1029,954,483,770,2897,1825,10,10,2,10,2,11,6,8,8,13,11,4,3,6,31,0,3,0,7,7,0,4,6,7,8,0,5,9,7,7,1,5,10,24,29,30,83,18284,18284,83,NA,NA,NA,NA,NA,NA,6689,6531,2787,5350,5379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,"psids","psids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","qatar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,8,28,NA,NA,NA,NA,NA,NA,1237567.55288,NA,NA,1369627.60087,NA,NA,482.34896,NA,NA,492.37389,NA,NA,NA,"qatar",3.5,109,0.00289079554763889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Qatar"
"148","republic of korea",201,124,0,172,0,375,358,249,343,450,56,111,297,269,307,175,1160,302,2,2,0,2,1,2,4,4,4,2,5,3,4,4,18,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,4,4,4,12,3664,3664,12,60,15,15,18,NA,NA,856,642,650,797,1216,73099813.32758,76932390.52973,80798730.35448,90386104.78256,98451276.23707,NA,1444.43463,1513.72902,1584.8029,1768.93241,1923.93969,NA,141,"republic of korea","republic of korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Asia","Asia","Asia","Republic of Korea"
"149","romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,7,5,7,3,54,137,NA,NA,NA,NA,NA,1569458.48139,2091472.24865,2286927.26898,2680195.80306,2848697.12288,NA,78.3322,104.96632,115.52305,136.36919,146.04124,NA,NA,NA,"EU",2.53703703703704,584,0.00597263146930149,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Eastern Europe","Europe","Europe","Romania"
"150","russia",764,860,217,492,0,367,909,2489,1139,816,1117,0,727,796,1378,228,2626,607,3,3,1,3,1,4,4,5,4,5,6,2,6,3,21,0,0,0,3,2,2,1,1,3,2,2,1,1,4,2,2,1,2,9,9,11,29,12225,12225,29,2,7,14,6,495,3465,2400,4145,2734,1536,3743,40360590.74593,38818630.27865,39008636.15307,42375694.37515,41505115.22222,NA,278.99378,267.74228,268.51511,291.18168,284.80042,NA,142,"russia","russia",7,4501,0.0990202659163034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Europe","Europe","Europe","Russian Federation"
"151","rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,2,0,0,0,1,10,NA,NA,NA,NA,NA,NA,NA,142730.40315,NA,NA,NA,NA,NA,12.23177,NA,NA,NA,NA,NA,"African Group",10,2,2.49995065765299e-05,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Rwanda"
"152","saint lucia",0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,279,377,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3,656,9483,25,1,2,2,2,1,0,0,0,0,759,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,"CARICOM","CARICOM",0,11,0.000432878873819445,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"153","samoa",633,0,0,0,0,0,205,67,0,0,57,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,329,18284,83,5,1,6,6,NA,NA,838,67,0,0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,"samoa","AOSIS",NA,NA,NA,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Polynesia","Oceania","Oceania",NA
"154","saudi arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,10,11,88,832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"saudi arabia",9.45454545454546,1280,0.0310590364342674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Saudi Arabia"
