actor,represents_alliance,alliance,host_side_event_igc1,host_side_event_igc2,host_side_event_igc3,frq_sci,total_time,agg_total_time,agg_frq_sci,participants_CBD_cop18,participants_BBNJ_igc1,participants_BBNJ_igc2,participants_BBNJ_igc3,total_publications,total_citations,avg_citation,degree_centrality,eigen_centrality,agg_total_publications,agg_total_citations,r,indegree
eritrea,eritrea,African Group,0,0,0,14,3748,9333,8,1,0,4,NA,NA,NA,NA,NA,NA,715,10755,"colombia, papua new guinea, sri lanka",4
estonia,estonia,eu,NA,NA,NA,NA,NA,20144,37,5,5,5,NA,54,913,16.9074074074074,1110,0.0178577786933557,9981,277146,NA,0
ethiopia,ethiopia,African Group,NA,NA,NA,NA,NA,9333,8,11,0,2,NA,8,31,3.875,36,6.5847655108819e-4,715,10755,NA,0
eu,eu,eu,0,0,0,37,20144,20144,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eu, papua new guinea, eu, japan, new zealand, canada, algeria, eu, holy see, belize, federated states of micronesia, algeria, monaco, new zealand, switzerland, switzerland, federated states of micronesia, canada, jamaica, new zealand, singapore, eu, tuvalu, norway, eu, switzerland, norway, eu, palestine, canada, norway, switzerland, iceland, eu, eu, switzerland, usa, singapore, usa, eu, eu, japan, papua new guinea, switzerland, singapore, switzerland, singapore, japan, eu, federated states of micronesia, algeria, eu, eu, holy see, switzerland, eu, canada, canada, australia, jamaica, switzerland, holy see, new zealand, eu, eu, usa, switzerland, new zealand, eu, senegal, switzerland, eu, new zealand, nauru, switzerland, norway, japan, new zealand, eu, canada, new zealand, usa, russian federation, switzerland, usa, russian federation, russian federation, usa, republic of korea, eu, nigeria, united kingdom, eu, eu, canada, eu, usa, canada, belize, singapore, switzerland, new zealand, monaco, monaco, eu, eu, eu, republic of korea, republic of korea, canada, palestine, algeria, eu, barbados, palestine, fiji, switzerland, algeria, switzerland, republic of korea, australia, usa, norway, new zealand, iceland, usa, colombia, switzerland, russian federation, usa, usa, new zealand, iceland, belgium, eu, republic of korea, maldives, switzerland, federated states of micronesia, eu, new zealand, norway, canada, japan, norway, usa, new zealand, norway, iceland, norway, norway, iceland, canada, norway, switzerland, russian federation, republic of korea, new zealand, belize, belize, singapore, switzerland, maldives, monaco, monaco, monaco, republic of korea, australia, usa, colombia, eu, solomon islands, russian federation, new zealand, usa, japan, china, switzerland, usa, australia, canada, usa, palestine, federated states of micronesia, new zealand, maldives, monaco, iceland, federated states of micronesia, eu, federated states of micronesia",33
faeroe islands,faeroe islands,faeroe islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
federated states of micronesia,PSIDS,PSIDS,0,1,0,18,5816,5,0,2,7,6,NA,1,3,3,53,0.00157486885815556,14,180,NA,0
fiji,PSIDS,PSIDS,0,0,0,6,3466,18670,53,1,8,8,NA,10,146,14.6,208,0.00663729000800186,14,180,"federated states of micronesia, argentina, papua new guinea, australia, china, tonga, federated states of micronesia, papua new guinea, mauritius, mauritius, eritrea, tuvalu",10
finland,finland,eu,NA,NA,NA,NA,NA,20144,37,28,5,5,NA,240,5951,24.7958333333333,3103,0.0665918687238069,9981,277146,NA,0
france,france,eu,0,1,1,2,0,20144,37,34,9,11,NA,1310,36098,27.5557251908397,21232,0.434131704115358,9981,277146,"spain, france",1
gabon,gabon,African Group,NA,NA,NA,NA,NA,9333,8,5,4,2,NA,NA,NA,NA,NA,NA,715,10755,NA,0
